dialectism;meaning;source;type;comment
ґазда;господар, власник господарства;Ґрещук;лексичний;соціально-побутова назва
ґаздиня;господиня;Ґрещук;лексичний;похідне від ґазда
ґаздувати;вести господарство;Ґрещук;лексичний;дієслівна форма
ґаздівство;господарство;Ґрещук;лексичний;словотвірне гніздо ґазда
ґаздовитий;господарний, заможний;Ґрещук;лексичний;потребує контекстної перевірки
баняк;каструля, посудина;Шкрумеляк;лексичний;предмет побуту
маржина;худоба;Шкрумеляк;етнографічний;господарська лексика
легінь;молодий парубок;Шкрумеляк;лексичний;варіант лєґінь
лєґінь;молодий парубок;Шкрумеляк;фонетичний;фонетично-графічний варіант
файно;гарно, добре;Шкрумеляк;лексичний;оцінна лексика
барз;дуже;Шкрумеляк;лексичний;прислівникова одиниця
плай;гірська стежка;Шкрумеляк;етнографічний;просторова лексика
трембіта;гуцульський духовий музичний інструмент;Шкрумеляк;етнографічний;музична культура
трембітар;музикант, що грає на трембіті;Шкрумеляк;етнографічний;похідне від трембіта
колиба;гірська пастуша хатина;Шкрумеляк;етнографічний;житло, пастуший побут
смерека;ялина, хвойне дерево;Шкрумеляк;лексичний;природний простір
ватра;вогнище;Шкрумеляк;етнографічний;побут і простір
кептар;традиційний гуцульський верхній одяг;Шкрумеляк;етнографічний;одяг
кептарик;невеликий кептар;Шкрумеляк;етнографічний;похідна форма
постоли;традиційне шкіряне взуття;Шкрумеляк;етнографічний;одяг
бартка;гуцульська сокирка;Шкрумеляк;етнографічний;предмет традиційної культури
чугайстер;міфологічна істота в карпатській традиції;Шкрумеляк;етнографічний;міфологічна лексика
арідник;нечиста сила, лихий;Шкрумеляк;етнографічний;міфологічна лексика
вуйко;дядько;Шкрумеляк;лексичний;родинна назва
вуйна;тітка;Шкрумеляк;лексичний;родинна назва
ненька;мати;Шкрумеляк;лексичний;родинна назва
мамка;мати;Шкрумеляк;лексичний;родинна назва
бараболя;картопля;Шкрумеляк;лексичний;харчова лексика
барабулі;картопля;Шкрумеляк;лексичний;варіант множини
будз;овечий сир;Шкрумеляк;етнографічний;харчова культура
бриндза;овечий сир;Шкрумеляк;етнографічний;харчова культура
шовдарь;копчена свинина;Шкрумеляк;етнографічний;харчова культура
пугарчик;невелика чарка;Шкрумеляк;лексичний;предмет побуту
мешти;черевики;Шкрумеляк;лексичний;одяг
моцний;сильний;Шкрумеляк;лексичний;оцінна лексика
порєдний;порядний;Шкрумеляк;фонетичний;фонетично-графічний варіант
вар’ят;божевільний;Шкрумеляк;лексичний;оцінна лексика
борлак;товста шия або підборіддя;Шкрумеляк;лексичний;назва частини тіла
спиж;кухонне начиння;Шкрумеляк;лексичний;предмет побуту
коц;вовняна ковдра;Шкрумеляк;етнографічний;предмет побуту
цвик;цвях;Шкрумеляк;лексичний;предметна лексика
бахур;хлопчина;Шкрумеляк;лексичний;назва особи
дримба;гуцульський музичний інструмент;Шкрумеляк;етнографічний;музична культура
молодиця;молода жінка;Шкрумеляк;лексичний;соціально-родинна назва
дідо;дід;Шкрумеляк;лексичний;родинна назва
баба;бабуся або жінка старшого віку;Шкрумеляк;лексичний;родинна назва
пивниця;льох;Шкрумеляк;лексичний;побутова лексика
фіранка;занавіска;Шкрумеляк;лексичний;предмет побуту
хороми;велика простора хата;Шкрумеляк;лексичний;житло
ліжник;вовняний тканий виріб;Шкрумеляк;етнографічний;предмет традиційного побуту
виходок;вбиральня;Шкрумеляк;лексичний;побутова лексика
дідич;поміщик;Шкрумеляк;лексичний;соціальна назва
дараба;пліт для сплаву лісу;Шкрумеляк;етнографічний;господарська лексика
челядь;люди, прислуга;Шкрумеляк;лексичний;соціальна назва
опришок;учасник карпатського повстанського руху;Шкрумеляк;етнографічний;історико-культурна назва
ґражда;традиційна гуцульська садиба;Шкрумеляк;етнографічний;житло
збанок;глечик;Шкрумеляк;лексичний;предмет побуту
черес;широкий шкіряний пояс;Шкрумеляк;етнографічний;одяг
жереп;гірська сосна;Шкрумеляк;лексичний;природний простір
віжлунка;провидиця, віщунка;Шкрумеляк;етнографічний;міфологічно-обрядова лексика
шпацер;прогулянка;Шкрумеляк;лексичний;побутова лексика
заворинє;задня частина подвір’я;Шкрумеляк;лексичний;просторова лексика
афини;чорниці;Шкрумеляк;лексичний;природна лексика
кєчка;жіноча прикраса на голову;Шкрумеляк;етнографічний;одяг, прикраси
гадєрниця;жінка, що лікує укусами гадюк;Шкрумеляк;етнографічний;народна медицина
ґоґодзи;ягоди;Шкрумеляк;лексичний;природна лексика
гайдук;слуга, охоронець;Шкрумеляк;лексичний;соціальна назва
барвінок;вічнозелена рослина;Шкрумеляк;лексичний;природна лексика
дупло;порожнина в дереві;Шкрумеляк;семантичний;потребує контекстної перевірки
позлітка;фольга або блискуча обгортка;Шкрумеляк;лексичний;предметна лексика
забавка;іграшка;Шкрумеляк;лексичний;побутова лексика
громадити;працювати гуртом;Шкрумеляк;лексичний;дієслівна лексика
кацавейка;традиційна куртка;Шкрумеляк;етнографічний;одяг
вельон;фата;Шкрумеляк;етнографічний;обрядова лексика
запопадливий;старанний, спритний;Шкрумеляк;лексичний;оцінна лексика
