lexeme;class;frequency;semantics
';;18;
–;;4;
—;;355;
";;21;
[;;1;
{;;6;
’;;20;
“;;9;
”;;9;
«;;153;
»;;152;
»»-«;;3;
¬;;180;
…;;210;
01;Ц;11;
02;Ц;6;
03;Ц;1;
04;Ц;2;
06;Ц;1;
07;Ц;3;
08;Ц;1;
09;Ц;2;
092;Ц;1;
1;Ц;23;
10;Ц;13;
100;Ц;1;
11;Ц;19;
12;Ц;30;
1212-томній;T;1;
128;Ц;1;
13;Ц;9;
14;Ц;10;
1414-ти;T;1;
15;Ц;10;
1500;Ц;1;
16;Ц;10;
1600;Ц;1;
1650;Ц;2;
1691;Ц;1;
17;Ц;7;
1731;Ц;1;
1737;Ц;1;
1753;Ц;1;
18;Ц;7;
1812;Ц;1;
1846;Ц;2;
18471847-му;T;1;
1850;Ц;2;
1883;Ц;1;
1892;Ц;1;
1893;Ц;1;
1894;Ц;1;
19;Ц;7;
1900;Ц;4;
1904;Ц;1;
1909;Ц;1;
1910;Ц;1;
1913;Ц;4;
1914;Ц;12;
1915;Ц;3;
1916;Ц;2;
1917;Ц;2;
1918;Ц;3;
19181918-го;T;1;
1919;Ц;1;
1920;Ц;1;
1921;Ц;4;
1927;Ц;1;
1932;Ц;1;
1934;Ц;1;
19361936-го;T;1;
1937;Ц;2;
19371937-го;T;1;
1938;Ц;7;
1939;Ц;3;
19391939-го;T;3;
1941;Ц;2;
1942;Ц;1;
1943;Ц;2;
19431943-му;T;1;
1944;Ц;3;
19441944-му;T;1;
1945;Ц;1;
19451945-му;T;1;
1946;Ц;1;
1947;Ц;3;
19481948-го;T;1;
1949;Ц;2;
1950;Ц;1;
1951;Ц;5;
1955;Ц;2;
1960;Ц;1;
1970;Ц;1;
1974;Ц;1;
1976;Ц;1;
19781978-го;T;1;
1986;Ц;1;
1996;Ц;2;
2;Ц;23;
20;Ц;8;
200;Ц;2;
2004;Ц;1;
20082008-го;T;1;
2020-х;T;1;
21;Ц;6;
22;Ц;8;
23;Ц;7;
24;Ц;6;
240;Ц;1;
25;Ц;6;
26;Ц;5;
27;Ц;5;
2727-х;T;1;
2774;Ц;1;
28;Ц;6;
29;Ц;4;
3;Ц;20;
30;Ц;5;
3030-х;T;1;
31;Ц;4;
32;Ц;2;
33;Ц;2;
33-томній;T;1;
34;Ц;2;
35;Ц;2;
350350-річчя;T;1;
36;Ц;2;
37;Ц;3;
38;Ц;2;
39;Ц;2;
4;Ц;18;
40;Ц;4;
41;Ц;2;
42;Ц;2;
43;Ц;1;
44;Ц;1;
45;Ц;1;
46;Ц;1;
47;Ц;1;
48;Ц;2;
49;Ц;1;
5;Ц;16;
50;Ц;3;
5050-х;T;1;
51;Ц;1;
52;Ц;1;
53;Ц;1;
54;Ц;1;
55;Ц;2;
56;Ц;1;
57;Ц;1;
58;Ц;2;
59;Ц;1;
6;Ц;15;
60;Ц;2;
600;Ц;1;
61;Ц;1;
62;Ц;1;
63;Ц;1;
64;Ц;1;
65;Ц;1;
66;Ц;1;
67;Ц;1;
68;Ц;1;
69;Ц;1;
7;Ц;17;
70;Ц;1;
71;Ц;1;
72;Ц;1;
73;Ц;2;
74;Ц;1;
75;Ц;1;
76;Ц;2;
77;Ц;1;
78;Ц;1;
79;Ц;1;
8;Ц;13;
80;Ц;2;
800;Ц;2;
86;Ц;1;
9;Ц;12;
92;Ц;1;
94;Ц;1;
950950-річчя;T;1;
dаs;Ц;1;
dеr;Ц;1;
dеs;Ц;1;
dіsсоurs;Ц;1;
und;Ц;1;
v;U;1;
vеlhеgеn;U;1;
а;С;831;Сполучник сурядні протиставні//Сполучник сурядні зіставний//Сполучник сурядні приєднувальний//Сполучник сурядні єднальні
абажур;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини пристроїв частини предметів меблів
абзац;Й;3;Іменник НЕПРЕДМЕТНІ ІМЕНА місцезнаходження//Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)
аби;С;28;Сполучник підрядні умовні//Сполучник підрядні мети//Сполучник підрядні допустові
або;С;244;Сполучник сурядні розділові//Сполучник сурядні пояснювальні
абоні;;1;
абопризначені;;1;
абрикос;Й;3;Іменник ПРЕДМЕТНІ ІМЕНА рослини, сорти рослин
абсолют;Й;2;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)
абсолютний;А;5;Прикметник розряд якісних пр
абсолютність;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ відад'єктивні імена
абсолютно;Н;12;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ кількісно-означальні//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні
абст;;1;
абстинентний;;1;
абстрактний;А;3;Прикметник розряд якісних пр
абстрактно;Н;1;Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні
абстракція;К;3;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ віддієслівні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА ментальна сфера
абсурд;Й;7;Іменник НЕПРЕДМЕТНІ ІМЕНА ментальна сфера
абсурдний;А;2;Прикметник розряд якісних пр//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
абсурдно;Н;1;Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні//Прислівник ОЦІНКА негативна
аванґардного;;1;
аванґардовій;;1;
аварійний;А;1;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
Августин;а;3;Прикметник розряд присвійних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
Августин;й;4;Іменник ВЛАСНІ ІМЕНА імена
авґустина;U;1;
авіалінія;К;1;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
авіапошта;К;1;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів
авіаційний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
Австралія;к;1;Іменник ВЛАСНІ ІМЕНА топоніми
австрійський;А;7;Прикметник розряд відносних//Прикметник ВЛАСНІ НАЗВИ топоніми//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
Австрія;к;2;Іменник ВЛАСНІ ІМЕНА топоніми
австріяцький;А;2;
австро-китайський;Ж;1;
Австро-угорщина;к;2;Іменник ВЛАСНІ ІМЕНА топоніми
автами;;1;
автентичний;А;2;Прикметник розряд якісних пр
авті;;1;
авто;Л;4;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої механізми, прилади, пристрої//Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої транспортні засоби
автобіографічний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
автобіографія;К;1;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)
автобус;Й;23;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої транспортні засоби
автобуса-бару;;1;
автобус-бар;;1;
автобус-бар;U;1;
автобусі-барі;;1;
автобусний;А;2;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
автомат;Й;3;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої механізми, прилади, пристрої//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої зброя//Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ вмістилище
автоматично;Н;3;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники
автомобіль;Й;14;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої транспортні засоби
автомобільний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
автономія;К;2;Іменник НЕПРЕДМЕТНІ ІМЕНА право, закон
автономний;А;5;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
автономно;Н;1;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники
автопортрет;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи) зображення
автор;Й;19;Іменник ПРЕДМЕТНІ ІМЕНА особа
авторка;К;1;Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina feminina
авторспостерігач;;1;
авторський;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ віддієслівні прикметники
автостанція;К;1;Іменник ПРЕДМЕТНІ ІМЕНА будинки і споруди
автостоп;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА інструменти і пристрої механізми, прилади, пристрої//Іменник НЕПРЕДМЕТНІ ІМЕНА рух//Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)
автотраса;К;1;Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ горизонтальні поверхні
агностик;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа
агрест;;1;
агрономічний;А;2;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
аґента;;1;
аґітаторів;;1;
аґрегати;;1;
аґресивність;;1;
аґресивності;;1;
аґресорів;;1;
аґресором;;1;
аґрестове;;2;
аґрус;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА рослини, сорти рослин//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини рослин
адаптація;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА буттєва сфера в тому числі існування
адаптований;А;1;Прикметник СЛОВОТВІРНІ МІТКИ віддієслівні прикметники//Прикметник розряд відносних
адаптуватися;Г;1;Дієслово фізіологічна сфера
адвокат;Й;2;Іменник ПРЕДМЕТНІ ІМЕНА особа
адекватний;А;1;Прикметник розряд якісних пр
адекватно;Н;1;Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ//Прислівник СЛОВОТВІРНІ МІТКИ відад'єктивні прислівники//Прислівник ЛЕКСИКО-СЕМАНТИЧНІ ТАКСОНИ ОЗНАЧАЛЬНІ якісно-означальні та якісно-відносні
адже;С;3;Сполучник підрядні причинові
Адже;Ь;27;Частка уточнювально-підсилювальні//Частка стверджувальні
адміністративний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
адміністрація;К;2;Іменник НЕПРЕДМЕТНІ ІМЕНА влада,управління//Іменник НЕПРЕДМЕТНІ ІМЕНА заклад, організація, установа, компанія//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ множини і сукупності об'єктів
адреналін;Й;9;Іменник ПРЕДМЕТНІ ІМЕНА речовини і матеріали
адреналіновий;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
адрес;Й;3;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)//Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
адрес;К;1;
адреса;К;8;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце//Іменник НЕПРЕДМЕТНІ ІМЕНА взаємодія і взаємовідносини//Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи) знак
адресат;Й;3;Іменник ПРЕДМЕТНІ ІМЕНА особа
адресований;А;1;Прикметник СЛОВОТВІРНІ МІТКИ віддієслівні прикметники//Прикметник розряд відносних
адресувати;Г;1;Дієслово соціальні відношення//Дієслово фізичний вплив//Дієслово фізіологічна сфера
Адріан;й;1;Іменник ВЛАСНІ ІМЕНА імена
адсорбувати;Г;1;Дієслово фізичний вплив
аерознімок;;1;
аж;Н;13;
аж;Ь;138;Частка уточнювально-підсилювальні
азбука;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ відад'єктивні імена//Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)//Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)
азимут;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
Азія;к;2;Іменник ВЛАСНІ ІМЕНА топоніми
айнштайна;;1;
айсберг;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
айстра;К;1;Іменник ПРЕДМЕТНІ ІМЕНА рослини, сорти рослин
академічний;А;3;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд якісних пр
академія;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ відад'єктивні імена//Іменник НЕПРЕДМЕТНІ ІМЕНА заклад, організація, установа, компанія
акація;К;1;Іменник ПРЕДМЕТНІ ІМЕНА рослини, сорти рослин
акварель;К;1;Іменник ПРЕДМЕТНІ ІМЕНА речовини і матеріали//Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи) зображення
акваріум;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ вмістилище//Іменник НЕПРЕДМЕТНІ ІМЕНА заклад, організація, установа, компанія
акваріумізує;;1;
акваторія;К;1;Іменник ПРЕДМЕТНІ ІМЕНА простір і місце
акорд;Й;1;Іменник НЕПРЕДМЕТНІ ІМЕНА звук//Іменник НЕПРЕДМЕТНІ ІМЕНА взаємодія і взаємовідносини
акробатика;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА спорт
аксіома;К;2;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)//Іменник НЕПРЕДМЕТНІ ІМЕНА ментальна сфера
акт;Й;6;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність//Іменник НЕПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частина//Іменник НЕПРЕДМЕТНІ ІМЕНА захід
активізувати;Г;1;Дієслово соціальні відношення
активний;А;4;Прикметник СЛОВОТВІРНІ МІТКИ можливий, здатний  (посибілітив)//Прикметник розряд якісних пр
актор;Й;5;Іменник ПРЕДМЕТНІ ІМЕНА особа
акторка;К;2;Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina feminina
актуальний;А;5;Прикметник розряд якісних пр
актуальність;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ відад'єктивні імена
актуальніший;А;1;Прикметник розряд якісних пр
акумулювати;Г;1;Дієслово соціальні відношення
акуратний;А;4;Прикметник розряд якісних пр//Прикметник розряд якісних пр якості людини//Прикметник розряд якісних пр фізичні якості
акустика;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)//Іменник НЕПРЕДМЕТНІ ІМЕНА звук
акушер;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
акцент;Й;2;Іменник НЕПРЕДМЕТНІ ІМЕНА звук
акцентацією;;1;
акцентуватися;Г;1;
акцепторний;А;1;
акція;К;5;Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)//Іменник НЕПРЕДМЕТНІ ІМЕНА дія, діяльність
Албанія;к;2;Іменник ВЛАСНІ ІМЕНА топоніми
албанський;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
але;С;658;Сполучник сурядні протиставні
алегоричний;А;2;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
алегорія;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА поняття
алейка;К;1;Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ горизонтальні поверхні//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви
алергія;К;4;Іменник НЕПРЕДМЕТНІ ІМЕНА хвороба//Іменник НЕПРЕДМЕТНІ ІМЕНА сприйняття
алея;К;3;Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ горизонтальні поверхні
алича;К;1;Іменник ПРЕДМЕТНІ ІМЕНА рослини, сорти рослин//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини рослин
аличевий;А;1;
алкоголізм;Й;1;Іменник НЕПРЕДМЕТНІ ІМЕНА//Іменник НЕПРЕДМЕТНІ ІМЕНА хвороба
алкоголік;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
алкоголь;Й;8;Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ імена класів
алое;Л;4;Іменник ПРЕДМЕТНІ ІМЕНА рослини, сорти рослин//Іменник ПРЕДМЕТНІ ІМЕНА речовини і матеріали
алхімічний;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
алхімія;К;3;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)
алюзія;К;3;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)
алюмінієвий;А;3;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
аль;;1;
альбігоєць;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
альбом;Й;10;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА тексти (книги, документи)//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ імена класів
альков;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ частини частини будинків і споруд//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ
альманах;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА МЕРЕОЛОГІЯ імена класів
Альпи;и;3;Іменник ВЛАСНІ ІМЕНА топоніми
альпійський;А;4;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
альпінарій;Й;2;
альпініст;Й;4;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
альтанка;К;4;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА будинки і споруди//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ димінутиви
альтернатива;К;1;Іменник НЕПРЕДМЕТНІ ІМЕНА//Іменник НЕПРЕДМЕТНІ ІМЕНА ментальна сфера
альтернативний;А;2;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
Альфонс;й;1;Іменник ВЛАСНІ ІМЕНА імена
Альфонс;й;1;Іменник ПРЕДМЕТНІ ІМЕНА особа
аматорський;А;2;Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники//Прикметник розряд відносних
амва;;1;
Америка;к;13;Іменник ВЛАСНІ ІМЕНА топоніми
американець;Й;5;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА особа етноніми//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
американка;К;1;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА особа етноніми//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina feminina//Іменник НЕПРЕДМЕТНІ ІМЕНА//Іменник НЕПРЕДМЕТНІ ІМЕНА гра
американський;А;3;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
амінь;Ь;1;Частка вигуки, звуконаслідувальні слова
ампула;К;1;Іменник ПРЕДМЕТНІ ІМЕНА ТОПОЛОГІЯ вмістилище
аналіз;Й;4;Іменник НЕПРЕДМЕТНІ ІМЕНА ментальна сфера//Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)
аналізувати;Г;1;
аналізуватися;Г;1;Дієслово ментальна сфера
аналітик;Й;3;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
аналогічний;А;5;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
аналогія;К;13;Іменник НЕПРЕДМЕТНІ ІМЕНА подібність
анальгетик;Й;4;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА речовини і матеріали
анальґетиком;;1;
анархіст;Й;1;Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА СЛОВОТВІРНІ МІТКИ nomina agentis
анархістський;А;1;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
анатомічний;А;3;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
анатомія;К;6;Іменник НЕПРЕДМЕТНІ ІМЕНА наука (напрями,вчення,розділи, терміни)
ангел;Й;4;Іменник ПРЕДМЕТНІ ІМЕНА особа надприродні істоти//Іменник ПРЕДМЕТНІ ІМЕНА особа//Іменник ПРЕДМЕТНІ ІМЕНА//Іменник ПРЕДМЕТНІ ІМЕНА ОЦІНКА (невизначена за ознакою ""позитивна/"негативна") позитивна
англійський;А;3;Прикметник розряд відносних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
андеґраунд;Й;1;
анджей;;1;
Анди;и;2;Іменник ВЛАСНІ ІМЕНА топоніми
андрея;U;1;
Андріїв;а;1;Прикметник ВЛАСНІ НАЗВИ антропоніми//Прикметник розряд присвійних//Прикметник СЛОВОТВІРНІ МІТКИ відіменникові прикметники
